korean,picture_path_1
ㄱ,res/자음/KNG-ㄱㄲㅋㅇ.png
ㄲ,res/자음/KNG-ㄱㄲㅋㅇ.png
ㄴ,res/자음/TN-ㄴㄷㄸㅌ.png
ㄷ,res/자음/TN-ㄴㄷㄸㅌ.png
ㄸ,res/자음/TN-ㄴㄷㄸㅌ.png
ㄹ,res/자음/L-ㄹ.png
ㅁ,res/자음/ㅍPM-ㅁㅂㅃㅍ-혀.png
ㅂ,res/자음/ㅍPM-ㅁㅂㅃㅍ-혀.png
ㅃ,res/자음/ㅍPM-ㅁㅂㅃㅍ-혀.png
ㅅ,res/자음/S-ㅅㅆ.png
ㅆ,res/자음/S-ㅅㅆ.png
ㅇ,res/자음/KNG-ㄱㄲㅋㅇ.png
ㅈ,res/자음/J-ㅈㅉㅊ.png
ㅉ,res/자음/J-ㅈㅉㅊ.png
ㅊ,res/자음/J-ㅈㅉㅊ.png
ㅋ,res/자음/KNG-ㄱㄲㅋㅇ.png
ㅌ,res/자음/TN-ㄴㄷㄸㅌ.png
ㅍ,res/자음/ㅍPM-ㅁㅂㅃㅍ-혀.png
ㅎ,res/자음/KNG-ㄱㄲㅋㅇ.png
ㅏ,res/모음/ㅏ.png
ㅐ,res/모음/ㅔ.png
ㅑ,res/모음/ㅏ.png
ㅒ,res/모음/ㅔ.png
ㅓ,res/모음/ㅓㅗ.png
ㅔ,res/모음/ㅔ.png
ㅕ,res/모음/ㅓㅗ.png
ㅖ,res/모음/ㅔ.png
ㅗ,res/모음/ㅓㅗ.png
ㅘ,res/모음/ㅏ.png
ㅙ,res/모음/ㅔ.png
ㅚ,res/모음/ㅔ.png
ㅛ,res/모음/ㅓㅗ.png
ㅜ,res/모음/ㅡㅜ반모음W.png
ㅝ,res/모음/ㅓㅗ.png
ㅞ,res/모음/ㅔ.png
ㅟ,res/모음/ㅣ반모음J.png
ㅠ,res/모음/ㅡㅜ반모음W.png
ㅡ,res/모음/ㅡㅜ반모음W.png
ㅢ,res/모음/ㅣ반모음J.png
ㅣ,res/모음/ㅣ반모음J.png
