korean,picture_path_1
ㄱ,../pic/자음/KNG-ㄱㄲㅋㅇ.png
ㄲ,../pic/자음/KNG-ㄱㄲㅋㅇ.png
ㄴ,../pic/자음/TN-ㄴㄷㄸㅌ.png
ㄷ,../pic/자음/TN-ㄴㄷㄸㅌ.png
ㄸ,../pic/자음/TN-ㄴㄷㄸㅌ.png
ㄹ,../pic/자음/L-ㄹ.png
ㅁ,../pic/자음/ㅍPM-ㅁㅂㅃㅍ-혀.png
ㅂ,../pic/자음/ㅍPM-ㅁㅂㅃㅍ-혀.png
ㅃ,../pic/자음/ㅍPM-ㅁㅂㅃㅍ-혀.png
ㅅ,../pic/자음/S-ㅅㅆ.png
ㅆ,../pic/자음/S-ㅅㅆ.png
ㅇ,../pic/자음/KNG-ㄱㄲㅋㅇ.png
ㅈ,../pic/자음/J-ㅈㅉㅊ.png
ㅉ,../pic/자음/J-ㅈㅉㅊ.png
ㅊ,../pic/자음/J-ㅈㅉㅊ.png
ㅋ,../pic/자음/KNG-ㄱㄲㅋㅇ.png
ㅌ,../pic/자음/TN-ㄴㄷㄸㅌ.png
ㅍ,../pic/자음/ㅍPM-ㅁㅂㅃㅍ-혀.png
ㅎ,../pic/자음/KNG-ㄱㄲㅋㅇ.png
ㅏ,../pic/모음/ㅏ.png
ㅐ,../pic/모음/ㅔ.png
ㅑ,../pic/모음/ㅏ.png
ㅒ,../pic/모음/ㅔ.png
ㅓ,../pic/모음/ㅓㅗ.png
ㅔ,../pic/모음/ㅔ.png
ㅕ,../pic/모음/ㅓㅗ.png
ㅖ,../pic/모음/ㅔ.png
ㅗ,../pic/모음/ㅓㅗ.png
ㅘ,../pic/모음/ㅏ.png
ㅙ,../pic/모음/ㅔ.png
ㅚ,../pic/모음/ㅔ.png
ㅛ,../pic/모음/ㅓㅗ.png
ㅜ,../pic/모음/ㅡㅜ반모음W.png
ㅝ,../pic/모음/ㅓㅗ.png
ㅞ,../pic/모음/ㅔ.png
ㅟ,../pic/모음/ㅣ반모음J.png
ㅠ,../pic/모음/ㅡㅜ반모음W.png
ㅡ,../pic/모음/ㅡㅜ반모음W.png
ㅢ,../pic/모음/ㅣ반모음J.png
ㅣ,../pic/모음/ㅣ반모음J.png
